Time,px,py,pz,ox,oy,oz,ow,fx,fy,fz
24.023,-0.971,3.146,2.533,0.094,0.117,0.531,0.828,-1.755,3.239,0.045
24.124,-1.417,3.185,1.895,0.102,0.109,0.531,0.828,-2.019,3.294,0.044
24.225,-1.580,3.199,1.662,0.117,0.109,0.516,0.836,-2.123,3.378,0.060
24.327,-1.589,3.210,1.652,0.156,0.086,0.469,0.859,-2.130,3.569,0.042
24.430,-1.586,3.224,1.660,0.195,0.070,0.422,0.875,-2.100,3.783,0.042
24.547,-1.582,3.238,1.669,0.227,0.047,0.367,0.891,-1.997,3.899,0.224
24.648,-1.577,3.255,1.678,0.258,0.039,0.313,0.906,-2.019,4.162,0.041
24.757,-1.573,3.275,1.689,0.289,0.023,0.250,0.914,-1.865,4.047,0.508
24.948,-1.579,3.301,1.698,0.320,0.016,0.195,0.922,-1.731,3.993,0.856
25.062,-1.603,3.344,1.707,0.359,0.000,0.141,0.914,-1.725,4.124,0.875
25.164,-1.630,3.379,1.711,0.383,0.000,0.109,0.914,-1.750,4.245,0.872
25.266,-1.662,3.412,1.718,0.398,0.008,0.102,0.906,-1.778,4.165,1.046
25.398,-1.695,3.444,1.728,0.414,0.023,0.094,0.898,-1.848,4.258,1.049
25.499,-1.729,3.474,1.736,0.422,0.023,0.102,0.891,-1.877,4.272,1.057
25.601,-1.766,3.504,1.738,0.414,0.023,0.094,0.898,-1.896,4.308,1.055
25.708,-1.766,3.504,1.738,0.414,0.023,0.094,0.898,-1.889,4.577,0.868
25.812,-1.791,3.531,1.740,0.430,0.008,0.070,0.891,-1.837,4.358,1.127
26.014,-1.764,3.550,1.751,0.453,-0.125,-0.164,0.859,-1.105,4.855,0.809
26.123,-1.731,3.537,1.753,0.422,-0.242,-0.328,0.797,-0.452,4.523,0.785
26.240,-1.703,3.515,1.755,0.375,-0.328,-0.469,0.719,-0.259,3.869,0.907
26.342,-1.683,3.492,1.754,0.320,-0.375,-0.570,0.641,1.200,3.374,0.049
26.443,-1.667,3.467,1.749,0.266,-0.398,-0.664,0.570,0.857,2.670,0.048
